row_id,ISO,year,Education,Marital_Status,age,Saving,weight
1015240,RWA,2016,Primary,Married,35-45,At other formal (non-bank),422.92092
1015241,RWA,2016,Primary,Married,>60,Not saving,634.38138
1015242,RWA,2016,Primary,Married,45-60,At other formal (non-bank),1480.2232199999999
1015243,RWA,2016,No Formal,Married,35-45,Informally,634.38138
1015244,RWA,2016,Secondary,Single,<18,Not saving,604.29927
1015245,RWA,2016,Primary,Married,25-35,At other formal (non-bank),402.86618
1015246,RWA,2016,Primary,Single,18-25,Informally,805.73236
1015248,RWA,2016,Primary,Married,35-45,Informally,198.62487
1015249,RWA,2016,No Formal,Married,35-45,Not saving,397.24974
1015250,RWA,2016,No Formal,Widowed,35-45,Not saving,397.24974
1015251,RWA,2016,Primary,Single,18-25,Not saving,794.49948
1015252,RWA,2016,No Formal,Married,>60,At Bank,419.29262
1015253,RWA,2016,Primary,Married,35-45,At other formal (non-bank),419.29262
1015254,RWA,2016,Primary,Married,18-25,Not saving,209.64631
1015255,RWA,2016,Secondary,Single,18-25,Informally,419.29262
1015256,RWA,2016,Primary,Married,>60,Informally,805.73236
1015257,RWA,2016,Primary,Widowed,>60,Informally,201.43309
1015258,RWA,2016,Primary,Single,25-35,Not saving,402.86618
1015259,RWA,2016,No Formal,Married,45-60,Not saving,805.73236
1015260,RWA,2016,No Formal,Widowed,>60,Not saving,201.4331
1015261,RWA,2016,Primary,Widowed,>60,At home,201.4331
1015262,RWA,2016,Secondary,Married,35-45,Informally,402.8662
1015263,RWA,2016,No Formal,Widowed,>60,At other formal (non-bank),201.4331
1015264,RWA,2016,Primary,Widowed,35-45,Informally,201.43309
1015265,RWA,2016,Primary,Married,45-60,Informally,402.86618
1015266,RWA,2016,Primary,Single,18-25,Not saving,402.86618
1015267,RWA,2016,Primary,Married,25-35,At home,402.86618
1015268,RWA,2016,Secondary,Married,45-60,Not saving,805.73236
1015269,RWA,2016,Primary,Married,25-35,At Bank,201.43309
1015270,RWA,2016,No Formal,Married,25-35,Not saving,402.86618
1015271,RWA,2016,No Formal,Single,25-35,Not saving,201.43309
1015272,RWA,2016,Secondary,Single,25-35,At Bank,201.4331
1015273,RWA,2016,Primary,Married,45-60,At other formal (non-bank),402.8662
1015274,RWA,2016,No Formal,Widowed,45-60,At other formal (non-bank),201.4331
1015275,RWA,2016,Primary,Married,25-35,Not saving,402.8662
1015276,RWA,2016,Primary,Single,35-45,Informally,671.9793599999999
1015277,RWA,2016,Secondary,Divorced,45-60,At other formal (non-bank),335.98967999999996
1015278,RWA,2016,No Formal,Divorced,45-60,At Bank,167.99483999999998
1015279,RWA,2016,Primary,Single,18-25,At other formal (non-bank),167.99483999999998
1015280,RWA,2016,Primary,Widowed,45-60,Informally,167.99483999999998
1015281,RWA,2016,Primary,Single,25-35,Informally,167.99483999999998
1015282,RWA,2016,Primary,Widowed,>60,Informally,167.99483999999998
1015283,RWA,2016,Vocational,Married,>60,Informally,671.9793599999999
1015284,RWA,2016,Primary,Married,35-45,Informally,335.98967999999996
1015285,RWA,2016,No Formal,Married,45-60,Not saving,503.98452000000003
1015286,RWA,2016,No Formal,Widowed,45-60,Informally,335.98967999999996
1015287,RWA,2016,Primary,Widowed,45-60,At other formal (non-bank),335.98967999999996
1015288,RWA,2016,No Formal,Single,<18,Not saving,335.98967999999996
1015289,RWA,2016,Primary,Widowed,>60,At Bank,335.98967999999996
1015290,RWA,2016,Primary,Married,>60,Not saving,335.98967999999996
1015291,RWA,2016,No Formal,Married,45-60,Informally,335.98967999999996
1015292,RWA,2016,No Formal,Married,35-45,Not saving,335.98967999999996
1015293,RWA,2016,No Formal,Widowed,45-60,Informally,167.99483999999998
1015294,RWA,2016,Primary,Married,18-25,Not saving,167.99483999999998
1015295,RWA,2016,No Formal,Married,25-35,Not saving,335.98967999999996
1015296,RWA,2016,Primary,Married,25-35,At Bank,167.99483999999998
1015297,RWA,2016,Primary,Married,35-45,At Bank,335.98967999999996
1015298,RWA,2016,No Formal,Single,45-60,Not saving,503.98452000000003
1015300,RWA,2016,Secondary,Married,18-25,At other formal (non-bank),335.98966
1015301,RWA,2016,Primary,Married,45-60,Informally,335.98966
1015302,RWA,2016,Secondary,Single,18-25,Not saving,335.98966
1015303,RWA,2016,Primary,Married,>60,At Bank,503.98449000000005
1015304,RWA,2016,Primary,Married,25-35,At other formal (non-bank),335.98967999999996
1015305,RWA,2016,Primary,Married,>60,At other formal (non-bank),335.98967999999996
1015306,RWA,2016,Primary,Married,35-45,Informally,503.98452000000003
1015307,RWA,2016,Secondary,Widowed,45-60,At other formal (non-bank),167.99483999999998
1015308,RWA,2016,Primary,Single,35-45,Informally,216.21093
1015309,RWA,2016,Primary,Single,18-25,Not saving,432.42186
1015310,RWA,2016,Primary,Widowed,35-45,Informally,432.42186
1015311,RWA,2016,No Formal,Widowed,45-60,Informally,216.21093
1015312,RWA,2016,Primary,Married,25-35,At Bank,216.21093
1015313,RWA,2016,Primary,Married,25-35,At Bank,432.42186
1015314,RWA,2016,Primary,Married,45-60,Informally,432.42186
1015315,RWA,2016,Vocational,Widowed,45-60,At other formal (non-bank),432.42186
1015316,RWA,2016,Primary,Married,25-35,At other formal (non-bank),216.21093
1015318,RWA,2016,Primary,Single,18-25,At home,648.63279
1015319,RWA,2016,Primary,Married,18-25,Not saving,432.42186
1015320,RWA,2016,Primary,Married,18-25,Informally,216.21092000000002
1015321,RWA,2016,Secondary,Single,18-25,Informally,864.8436800000001
1015322,RWA,2016,Primary,Married,45-60,At Bank,216.21092000000002
1015323,RWA,2016,Primary,Married,25-35,At other formal (non-bank),432.42184000000003
1015324,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),648.63276
1015325,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),864.8436800000001
1015326,RWA,2016,Secondary,Single,<18,At other formal (non-bank),648.63276
1015327,RWA,2016,Primary,Married,35-45,At other formal (non-bank),432.42184000000003
1015328,RWA,2016,No Formal,Widowed,35-45,Informally,648.63279
1015329,RWA,2016,No Formal,Married,25-35,Informally,432.42186
1015330,RWA,2016,Primary,Single,18-25,At Bank,648.63279
1015331,RWA,2016,No Formal,Married,45-60,Informally,432.42186
1015332,RWA,2016,Primary,Married,25-35,Informally,484.3009
1015333,RWA,2016,Secondary,Single,18-25,Not saving,726.45135
1015334,RWA,2016,No Formal,Married,>60,At Bank,484.3009
1015336,RWA,2016,Primary,Widowed,>60,At other formal (non-bank),222.39267999999998
1015337,RWA,2016,Vocational,Widowed,>60,At other formal (non-bank),222.39267999999998
1015338,RWA,2016,No Formal,Married,35-45,Not saving,444.78535999999997
1015339,RWA,2016,No Formal,Married,25-35,Informally,444.78535999999997
1015340,RWA,2016,Vocational,Married,45-60,Not saving,432.42186
1015341,RWA,2016,Primary,Widowed,45-60,Informally,216.21093
1015343,RWA,2016,No Formal,Single,35-45,Informally,216.21093
1015344,RWA,2016,Secondary,Single,18-25,Informally,610.39869
1015345,RWA,2016,Primary,Widowed,45-60,Not saving,406.93246
1015346,RWA,2016,No Formal,Married,35-45,Informally,203.46623
1015347,RWA,2016,Primary,Single,25-35,At other formal (non-bank),406.93246
1015348,RWA,2016,Primary,Married,25-35,Informally,406.93244
1015349,RWA,2016,Primary,Married,>60,Informally,406.93244
1015350,RWA,2016,No Formal,Single,45-60,At other formal (non-bank),203.46622
1015351,RWA,2016,Primary,Married,25-35,At other formal (non-bank),406.93244
1015352,RWA,2016,Vocational,Married,35-45,At other formal (non-bank),406.93246
1015353,RWA,2016,Primary,Married,25-35,At other formal (non-bank),406.93246
1015354,RWA,2016,Primary,Married,35-45,Informally,406.93246
1015355,RWA,2016,Primary,Married,25-35,Informally,203.46623
1015356,RWA,2016,Primary,Married,35-45,At other formal (non-bank),406.93244
1015357,RWA,2016,Primary,Married,35-45,At Bank,406.93244
1015358,RWA,2016,Primary,Married,45-60,Not saving,610.39866
1015359,RWA,2016,Secondary,Single,18-25,At other formal (non-bank),813.86488
1015360,RWA,2016,Vocational,Married,25-35,At Bank,406.93244
